,questions,answers
0,Participant ID,9
1,Age,
2,Gender,Female
3,video_5_condition_0_In hoeverre was je aandacht gericht op de film?,0.90625
4,video_5_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.89375
5,video_5_condition_0_Wie is 'het lekkerste wijf op het feest?',de andere homo
6,video_5_condition_0_Aan wie wordt hoofdpersoon Bram op zijn verzoek voorgesteld?,aan de andere homo
7,video_5_condition_0_Waar komt Florian vandaan?,amsterdam
8,video_5_condition_0_Bij welke term schrikt Bram terwijl zijn hand dichter naar die van Florian kruipt?,een geluidcomma schreeuw
9,video_5_condition_0_Wat is de reden dat Bram en Florian naar buiten gaan?,te druk binnencomma maar ze willen eigenlijk even alleen zijn en nadenken
10,video_5_condition_0_Waarom kan Bram niet mee naar het festival waar Florian ook heen gaat?,het is uitverkocht
11,video_5_condition_0_Welk spel speelt de groep in deze film?,ken de naam nietcomma bierflesje draaien
12,video_5_condition_0_Waarom wilt Bram tegen het einde van de film nog flesje draaien?,hij hoopt dat het flesje op Florian gericht zal zijn
13,video_5_condition_0_Komt het flesje van Bram uit bij Florian?,nee
14,video_5_condition_0_Wat is de kleur van het etiket op het flesje?,groenzwart en wit
15,video_0_condition_1_In hoeverre was je aandacht gericht op de film?,0.7166666666666667
16,video_0_condition_1_In hoeverre was je aandacht gericht op de taak?,0.55625
17,video_0_condition_1_Wat is de kleur van de dienstauto van de chauffeur?,zwart
18,video_0_condition_1_Wat vraagt de chauffeur aan de twee kinderen die vlak bij zijn auto staan op het schoolplein?,zitten jullie hier op school
19,video_0_condition_1_Hoe heet de jongen die met de chauffeur mee gaat?,tom
20,video_0_condition_1_Wat belooft de chauffeur de jongen als hij mee gaat?,een klein wit autootje
21,video_0_condition_1_Wat doen de chauffeur en de jongen in de auto op het afgelegen terrein?,ze drinken een milkshake
22,video_0_condition_1_Wat doen de chauffeur en de jongen nadat de jongen zelf een stukje heeft gereden?,dan gaan ze een milkshake kopen bij de drive inn
23,video_0_condition_1_Wat bestelt de jongen bij het restaurant?,een milkshake
24,video_0_condition_1_Wat is de relatie tussen de jongen en de chauffeur?,vader en zoon
25,video_0_condition_1_Waarom wordt de chauffeur boos en zegt hij ‘godverdomme’ tegen de jongen in de auto?,de jongen doet een kunstje en trapt daarbij per ongeluk de milkshake omcomma waarop zijn vader erg boos wordt
26,video_0_condition_1_Wat zegt de chauffeur tegen de moeder van de jongen?,niets
27,video_2_condition_0_In hoeverre was je aandacht gericht op de film?,0.7583333333333333
28,video_2_condition_0_In hoeverre was je aandacht gericht op de taak?,-0.9666666666666667
29,video_2_condition_0_Wat bestelt de vrouw in het begin van de film?,tomatensoep met extra veel kip
30,"video_2_condition_0_Aan wie doet de man, die aan een van de andere tafels zit, de vrouwelijke hoofdpersoon aan denken?",fred haar ex
31,video_2_condition_0_In welke ijs heeft de vrouwelijke hoofdpersoon zin?,dame blanche met echte chocoladesaus
32,video_2_condition_0_Waroom zingt iedereen in het restaurant voor de vrouwelijke hoofdpersoon?,omdat ze jarig is
33,video_2_condition_0_Waarom is het niet gek dat de personen tegenover de vrouwelijke hoofdpersoon op elkaar lijken?,ze zijn broer en zus
34,video_2_condition_0_Hoe komen de gasten in het restaurant over op de persoon die op het einde binnenkomt om Chinees af te halen?,hij ziet hen als een grote familie die gezellig samen omas verjaardag vieren
35,video_2_condition_0_Hoeveel sterretjes stonden er op de taart?,een stuk of tien
